query_id	passage_id	relevance
q_04ea92abdcedcd83feac	p_18bd3d3c194d8cccedd6	1
q_0547ae1de730e0fefe1e	p_cf27d54fb831bd9c4035	1
q_05a61304d94f5ccf38b1	p_b7f7c31aad567f8db311	1
q_05c0329e815b1521893e	p_6eb39406d8e8d0c12947	1
q_05cffdfa25256df0e055	p_a3a3ebc58d795ce5c3ef	1
q_05e56fbee726a675b6d1	p_9f86a120fbfe76a45b2a	1
q_05f6e6303e8d70106079	p_12adcae2c28ccc8c1837	1
q_05fbb50d473ce5ef35d5	p_258bfbf1808154ca7672	1
q_060d26c76e5d3a03d369	p_19865bfd052807ce342b	1
q_0630514f75d757ff6d59	p_31845d726f8664d52aaa	1
q_065476044024a62bfcb9	p_c953afc8f2c71904f29e	1
q_067b0e018df464bcbd66	p_ae1d5c6704f528f19174	1
q_068eb471877b6cb15b25	p_5a99c2c646b4666beaea	1
q_06ba005cc569f354e4e5	p_e894f7e79ea176716926	1
q_06e4e6cd1c7362d508d6	p_cd019c8077e2dc4d545a	1
q_06f6a99a81c5889fb2cd	p_6a429f27a1700d144b75	1
q_07105f1b4f0998704193	p_1aecd357ace9efe12ddd	1
q_0710d13f18bfdd00983e	p_27642b49d4a2fc68e6cf	1
q_073ae03f9d6aad9eb125	p_321396cea0a20fefe84e	1
q_0760475c524738c61915	p_77158099c61feccc0b63	1
q_076ff479cb19d1b3c7a4	p_629c9d65b73daaff5e7b	1
q_07fb0b452d3678c8e161	p_a69878e951cacca1b99c	1
q_08239c9540c957642ffe	p_2d720f41c543d39b4da0	1
q_0859848f6c9c609dd044	p_b3b4934c5b5202331b3f	1
q_0890429ea60276dc5888	p_b5f77719ff397d4091cb	1
q_0902b86a0d0fc9de2a30	p_b3d3a6e3f13615b8dccd	1
q_0928f3bef56b91e6100e	p_31aa2ae4220ab7d0bddc	1
q_0a2cff24816a3c08a397	p_90c324637926b59ef333	1
q_0a36127b59d3b81eef4e	p_9e15914686f951469fde	1
q_0a3ee718a0403f1c7167	p_089065fb097efca8f654	1
q_0a862cc6c99a76c1e6e9	p_25e362adea3b92641ded	1
q_0a94cf024949ef295c05	p_203fc5fd18e4bf9f57d1	1
q_0a9d836a8ff9124bd477	p_742fb0f7b93a16c7cab1	1
q_0ad081c36b9fa60e5356	p_19ad3fa0a32d141adcaf	1
q_0ae5ae6de5f15c33d11a	p_c5269ec0223e73b24b6a	1
q_0b00cd9d407db4638191	p_d4ceef7b0d28bf3b3756	1
q_0b5eafb20d26174fbb29	p_fcc5c08b56c167fafdd6	1
q_0b737f86e94f23452d66	p_9d83247346d2bf9f8a53	1
q_0b8539f30fba3d3e5887	p_1f423a1cbad6cc726f4d	1
q_0bb3660d7a8382910134	p_ca308379e7a86ca40693	1
q_0bd64e1be19cf5be2e7b	p_106d4d7c5dbabe536df9	1
q_0c23593243905e11207f	p_f520e0faeaacd41449da	1
q_0c6835392c0e44d64045	p_82fbd9bdcf91d0ef0a25	1
q_0c6ed1decfcea739dd39	p_2e77e750462e1b9c83d3	1
q_0c8b832798f74db66435	p_e77b0f9bdccb417581b7	1
q_0ca94e903fff783d957a	p_f19f54136dc3dbca2df0	1
q_0cb6e3751cb19b43cabb	p_71a8df79532998b57e16	1
q_0cc0c3b67166fa8ab798	p_24bd36f798dace902906	1
q_0ccea43f04c5d65a5d60	p_672fd83645679718372b	1
q_0cea673197019d4708d4	p_8e53ba907ad1689f0eb4	1
q_0d0ffd2b2ebbb702ecf0	p_68480a2b6225f9abb3da	1
q_0d3452386fd8236245bb	p_804dc2932809142c2384	1
q_0d38869464b53e5c44c3	p_79c79318d79f3935d8f1	1
q_0d43b6cfed6f50d000ad	p_3990e43691726f558c14	1
q_0d9e7653676fc18c22d4	p_8366a616bf9c785a2745	1
q_0dbe8777c2ad97d14379	p_c0eade4bdad7bf7c0fbe	1
q_0dcacb160e6c9dbec9f3	p_cdc9207d7639e693a879	1
q_0e170f6d466a4ce03486	p_845fc87f12c53beddcee	1
q_0e1e7be12ad276b7d2ae	p_d4c5c39f1a3b753bdb82	1
q_0e2052bcc278b850bd81	p_f9bacbceb60d674c3ef7	1
q_0e34012e6598eb22ccf3	p_a2fc716c3707534ae489	1
q_0e3841f8590a980cc910	p_ee105d00d9b2d825ebd1	1
q_0e5bffd4552154c552ef	p_e7b086fffbd42d3ac027	1
q_0e8f7576171ed44acc2f	p_420b88b8740d834bc8c3	1
q_0ec682316ad3ce42b279	p_c36df197bf777518684f	1
q_0eeaa746c580046b3ffe	p_77ef3d72dcf728fbf2e3	1
q_0f1139af17e6bfdd20a8	p_6a64c48e9501fa1045d5	1
q_0f15dd6e05533e88754b	p_3a1e7b85f68b635e31d3	1
q_0f26b25eae1bfcb0fb0f	p_009cef6033ce7bbd4b1e	1
q_0f33dd5198d496843fb3	p_afb5de6dd8c0ee46b6e2	1
q_0f828b41035c68e4fa95	p_37941989e7b3e00470c6	1
q_0f92b643f7cca2033b87	p_ce868458c375c44112f4	1
q_0fad9b87c857226064a0	p_833bd06b1d02b9fd081c	1
q_0fc519d0e3a25be9890d	p_bdeaf39e01b56a71bb89	1
q_0fe1eee29132118ce5a3	p_f7b3aa229fdfc9d5734f	1
q_0ff5245c6697ddfe37a5	p_aa9388b3604f8a5f1a23	1
q_0fff724de8311eaa9abd	p_9ff9acb6312a75f7320e	1
q_104dac646509603ae760	p_9ca3742a4994d54186f4	1
q_1057ab3dc899c9cc9aa1	p_138d8d21867a55ffdb5b	1
q_105fb7e53d937970fab1	p_f7742797cc49566a13be	1
q_1085bdf98d200e403731	p_897a5291ad880da88ab9	1
q_109f7f5678101f76adce	p_715f9a78e67040256714	1
q_10a1a6bcd6bf99a31c4b	p_f82dd3e0376275511316	1
q_10a86402211760312072	p_03bb523f3d78ae282d36	1
q_10bcc8042f29ab69cfc1	p_e7a515ad74645b85e58c	1
q_10c8095f122b261fcc83	p_24c56e217e0f22416770	1
q_1144e0a53a9e519e1332	p_e4007873b0f10398ab57	1
q_114fc1c2bc4598dd0bfa	p_6e0bb91917b93113c534	1
q_115f8687ce29884ee0ba	p_f81203ef5742e8d1d3f2	1
q_1168f86e32f90e5e1543	p_4808ebfef2d9de7d73ea	1
q_1173d395b05a382febc1	p_ff5ed2f256df68006c44	1
q_11a29e060fbd75ad12a0	p_eb44e75fab43a5fed0cc	1
q_11d50991e989a637719c	p_17021f6689b4c014df1e	1
q_11e840478b1c3de0730a	p_7530b490b1799c1c4365	1
q_129f87678a12b4a9e18e	p_251c878d128765a78468	1
q_12a4c557361be56d7877	p_784d00022f15da6c2a47	1
q_12ba3e3edb8fe0828757	p_1e47747a3d0d2987fbcb	1
q_12f941359aa00c360228	p_c2f49ba94fb836562c10	1
q_130dec3f743d42130da5	p_5c71702687b98006cbdb	1
q_130f703680d613d3d96f	p_5a99032b173f0549cc53	1
q_1331c1f31c86ca6fa765	p_b851a27c293521332077	1
q_135fef76ef9bdde12514	p_be6d74b560c97cbda1dc	1
q_137d2365914c615644dd	p_1ea2b46f0fa9884ed1d5	1
q_13a68da1747e4c283a2e	p_8b022d91607f1a297205	1
q_13c9db09af9e5735a924	p_61a51b041fa1e9805784	1
q_13ce630357a9460023fb	p_26d4a9fdc7287defe8cd	1
q_13ce932a67bfa2a225d5	p_bcb1ad9ee37e4ccd7cb9	1
q_13d00b727c6d6b2e3ba1	p_e533821d2dceb953bf04	1
q_13d2463df0860a85b879	p_f7c56f4a2cb320853455	1
q_13e1fe1851c61616539e	p_9832b16d6b1c91bff1db	1
q_13e4016da6f3d7c7693a	p_5424f7f8460c60444e67	1
q_14110d457d3c009f8313	p_f2769f3ea92602fcf405	1
q_141faeb4d99121839c48	p_f8cc29a592194d2f1533	1
q_143d2a18004082923479	p_4343a509e7ba09d8cf23	1
q_145ad8969b1f11681cf2	p_f5640e88a56c8161534f	1
q_1480a1cd30203d3b08b3	p_7116402de41d06e2a96d	1
q_148f7a0c49743b793e36	p_94c2b6c936a69069890d	1
q_14a0eb3c1c9bec5ccb76	p_e632d897456308e6a9b7	1
q_14d1e05c6660ed2b0778	p_88501d378c8f3134182d	1
q_14f25c6d52c364959209	p_ed7e3e972eccaf19c80d	1
q_14f71bf6de92deac3a51	p_eb3525c06bc5cbb53ef6	1
q_14f774599fb4c184c89d	p_c94975e7094a2d89cdcc	1
q_153fd1bb6e3609157c91	p_d2ab8735cfb773980143	1
q_1545637c8705463436ad	p_36932e3f3d5eb086645c	1
q_155e03ca39022c088833	p_64d56045ec6060746bc0	1
q_1575c52e04ad1f5ecfb5	p_aa999536a7a5dad1c625	1
q_1594eda65fcdf9cae039	p_3c02ce965abf19fbd648	1
q_15a06cf7b01f7083b9c7	p_0371d15b38d7b2bea345	1
q_15a59d000537e88ec69e	p_182147ef2e2768481f03	1
q_15c864ac5286eee83099	p_792863827b326e37c3ac	1
q_15e9345409e4ea247eae	p_92851b7227d8923554a9	1
q_15fac8d115d9e42c4511	p_9c917ee4c6904391ae6c	1
q_15fd443fb2d1e9fa819c	p_bd45c906eb196473243b	1
q_16090f9223321dd6538f	p_507bcd626e8f439bbc55	1
q_163ea46c933404f22ba6	p_bebcc1b170c0273948f5	1
q_1645dc4cc653b00733d9	p_18e547f5e9d8e2fba00a	1
q_1663bb643d84926e1f8d	p_d159553945444dd203e1	1
q_1665708e0a6d4eb90e70	p_bc15ba6cfc72ed8ee4ea	1
q_167f357cd0e66840c3aa	p_93496a73311ac9168d69	1
q_16a293ed857c0bf68798	p_034521a21d2b4efaa97a	1
q_16bd48597a93386fd21d	p_822d89ed0a61cf27f4f2	1
q_16ed395a587d4df3170b	p_08f3a90149879bed73a7	1
q_172f47464dc943b3b576	p_257ff79ca3b4b64e1284	1
q_173748f362674dc45564	p_b456b178a520f0727428	1
q_174d9c8c6f2648a1da38	p_f130d175731dac35ab1f	1
q_17ae0abfb084786c3b95	p_96da93da4bc3bb8bd5de	1
q_17b7af9861619903fb9e	p_96ecdf10f483c62ff92e	1
q_17da74330f4d3c1e3460	p_61341e207e5b8abdf65a	1
q_17f761d34f590fba4740	p_253618e6c94b63ba4181	1
q_18849fe28c2fc540d514	p_461d0625668c49c0acfa	1
q_189d59a7e319ac6650a5	p_b7a5d36b17a0e411daae	1
q_18a7850f5276c57644e9	p_0a5fb88c3f6e3976ff88	1
q_18bec6505081905cc4aa	p_b919e0a70696da7b1de2	1
q_18e2f5ffcf60e0f1c76e	p_4f281fb3a4cff364be07	1
q_18e8f3a8361700faca1e	p_523e48af3c574953f576	1
q_190eb9c19bfe2724fa5c	p_9cfa51520a198ded1cdc	1
q_191f2225b798a3fc0602	p_90bfaab64940c742556f	1
q_194f10d6ba3297857844	p_4d79958ab37ca2886427	1
q_195e7404d1c5c3c2346d	p_8652aaa9561dd637c021	1
q_197ea6b3a5bd82b47b68	p_a30fc9ccfb4e174cde89	1
q_198d647d398efd876b1f	p_a4093d419aab6880bbac	1
q_19bb7cf2a86a5ef97cf1	p_5e47925a62e12531ec19	1
q_19c23408f44b7fe043e1	p_25344d6195ec481b8c6c	1
q_19c3febc0a89f5aa66ac	p_6285e6e14770e98bd1e2	1
q_19ea9f6f199f5d2ef591	p_a14a0f3002b557b629c4	1
q_1a1a40733e0025cc3be0	p_899bf29cc54348c9172a	1
q_1a55ec4da565a038a8ba	p_27c8be509e722cee62a1	1
q_1a9ee46cb9e5f7de8112	p_18a75a27096cfb23b283	1
q_1ab8aa02a434c48b325a	p_c81946549758ee7e2b76	1
q_1aceabee3b4e930bc40a	p_23e69609797ff6b59fd7	1
q_1b14bf5d775a291b8f8f	p_a0460726a07a1cc972cc	1
q_1b21b6e83852b8cdbaf3	p_a2a8178abea018036d80	1
q_1b3ed5bfab3fffc1844e	p_40eeebcb13b08bcc63e6	1
q_1b4817db4007bf9733e9	p_ce6232833adb70955884	1
q_1b501105ed75833a3b9f	p_9e5e206ca9f4d5d98b54	1
q_1b52678023d7312ca307	p_0f895f2efc3b802affcf	1
q_1b5f4adb6a70b2765069	p_2f04b59483cdff836813	1
q_1bbc889827e3b02bbbe4	p_ed0cc5bc12fead80b379	1
q_1bbde003701e90ff79bc	p_1066f5cd6fe8b448f772	1
q_1bc020084482a6acab9f	p_a39cda3235c438211c2c	1
q_1bebe78dd3ccc25d78e8	p_65cb4c3948c294af1a70	1
q_1c267060a49803eb908b	p_ee7d3e05f040a9cc2713	1
q_1ca03c7cbf3aba91690d	p_bcc01e24a97ff188a47d	1
q_1cc352acf0eebb33a166	p_fd95188ca5bd497de0a7	1
q_1ce0cbf378b57db53f37	p_5882527fa796087b0a25	1
q_1d07ee1fdd50fa9586ab	p_1f4f28cf1ed902d3d436	1
q_1d27ece48c297dc17c7d	p_26fb7998faca8845dcfb	1
q_1d3c5e9a10066d689591	p_7bdcc047a602169de77d	1
q_1d4cc814adb48a736e18	p_fb811378d72d5d789475	1
q_1d4df299b12194134031	p_f279a26c5eda796333eb	1
q_1d61431b82ce6827d876	p_5728e31d532cc6ba33d8	1
q_1d7331903381683959f3	p_304b8954b84bd3f1b52b	1
q_1d8bc6915cc8118c10ae	p_cf43f2df7f0760cbb195	1
q_1d9ade5f8d593012165d	p_f0e0b9467ecec5c2ce87	1
q_1daf8aa980370d7ffd63	p_3e21534e48c4576c4160	1
q_1dfa7b996f28aed4d373	p_2a2f79c1ddd5c80a5245	1
q_1e020078849a7482e133	p_2640e94aa8ceab5bec1f	1
q_1e07cfbc093408c33a36	p_01e358b32960e363b908	1
q_1e1500fdbb5263ed2f34	p_bfefce8002f9c7640700	1
q_1e3d0697178a52617b52	p_11f04ddb573aae429bca	1
q_1e4eae644e670470e6b6	p_60515ff0d3071e4af9fa	1
q_1e54a1ed6bbd451b5cbd	p_6ceece34c0eecf0645d4	1
q_1e70120d45d27f38da3a	p_f4e84589addccaf05509	1
q_1e7539bc67124d03bb83	p_08548cafa056288866c2	1
q_1e8481dd88a817c77327	p_6c3bc0511dea69b2c8a6	1
q_1e84eef83db5c36d3b87	p_0d036b801039f8e47997	1
q_1ea4481752a9c57389e1	p_0974340ddadcac782c58	1
q_1ee3dbb256426ad6756f	p_c6b45ccbc14f3795639f	1
q_1ee72b2dc05f94ec9326	p_f866114540d223a2b47c	1
q_1ef988b4fbf8acf0ff94	p_e2f078fd63b7f44f4caa	1
q_1f041c4b4b24ec2be7f2	p_1417728d48919951bb39	1
q_1f120e4b0a4c5ab272e0	p_eb4a0df4b94ac9fc8774	1
q_1f2d5bad134a10f6fab6	p_98fc645bd2c62645f8b2	1
q_1f3987ccd7ffb230fabe	p_bf652f77e0d7112c5a0e	1
q_1f7e8b35f6546149a58f	p_4c31e6f9ac992944fea4	1
q_1f8589e23d964667c3ce	p_60770eac26ba973e49f3	1
q_1f92da8b2d4053ae7137	p_4a2c9cfd4f1dd3d296c9	1
q_1fb236510a979361928c	p_f9f937a6bca12bd616e7	1
q_1fdd3c36b39e83746803	p_996c2cb4e4707b85fc56	1
q_1fdde62f34c7a9faf928	p_2def231a2cb39b417197	1
q_1fe9b4b6953b5ecbd07c	p_78166fbdce3639201773	1
q_1ff70f124e636279a327	p_db8b3cc1071b9e11de51	1
q_1ffa50e669e1465bfdf8	p_28271f35079eff59f5da	1
q_1ffc6d63a12759c5e322	p_61a0a277e216eaef3162	1
q_2002373c02ec44e30344	p_b6b347912033bac5ac13	1
q_205f96c478ff2e31930b	p_71b1c0638cfb1dd4c9da	1
q_20761943a3388f71391a	p_b03fd39eb8e0df771b8e	1
q_209bf9d7f0ae4377cc3a	p_3cdeb9e3d00b3ec6148e	1
q_209c78b612c3c21972d6	p_a2d748a0450efa5b0b61	1
q_209d679a0641179b7965	p_aac74300742a4d098c30	1
q_20add679a208f30c3ea7	p_9ad332eb55c10578ca4e	1
q_20b9b9c8be12556f28c7	p_a1c5b5c1820ca43aa205	1
q_20ec00d58fa622169b32	p_2edec8c556f53300fdfe	1
q_20eec4dfd84fb423b7e6	p_765c954f76ee6b1fe2c1	1
q_2116d57901cf840bed38	p_d89a8ffac42e3257ec2a	1
q_2156eb4397f6206d3977	p_c66511715799ab715a2c	1
q_216bb4edecef609fc20c	p_324d8fc72ef2d71ee7e6	1
q_21883fc82a52cafa2219	p_3060185e4704ff9aef46	1
q_21981b752b072f09cab9	p_e518209947da62a450ce	1
q_21998a068111c6fdea73	p_351fa99c7e3056603755	1
q_21a5ea4e4f1580f3f607	p_af44c00ec274d44969b0	1
q_21e51ecbc8da40fcd696	p_efe67c33ed1977968198	1
q_21eb444e94a376e325e9	p_dcd92b872f009670f343	1
q_21f688a06866502d27ca	p_d638d98365b8eee57012	1
q_222663dc28631db3a979	p_300e4aa73d9019e2227a	1
q_222920196c219ba22635	p_9269e6cf514d823917f4	1
q_2263000b3edef4e538ad	p_3d0b0cf0573f45876fa4	1
q_22636a871cd0fefcac72	p_ef7693e13c6e2d98bd59	1
q_226424fd475679ce7b6d	p_c608e81994cb2294c42d	1
q_22687b5bb2599474acfa	p_687882bf833ba579988a	1
q_2275be974575282e9cad	p_080e1e10fffb7980df8a	1
q_22956f39a702cb8d5e47	p_55913fc4c5551382b69b	1
q_22ac7e2acdf39307067a	p_158a996b6c7335318396	1
q_22e0138ec1d80aa3c149	p_344a98bbbcc3d3ac63a2	1
q_22ed31b0a4711becb935	p_77f29e2927b3ef71f765	1
q_22ff460b70688a66c153	p_7504e4e97ef28b9256f4	1
q_234f1897c555c039efff	p_b2e68bd5a5ff04185832	1
q_2380fa13d72ca85d6364	p_49572f1621a39cc2a418	1
q_23897798dc2378da0a17	p_e66195c11ba190b2635e	1
q_23e17d2cedc93f5d5dc2	p_d364f3affa00e4ea935b	1
q_23fa206def5308147c1a	p_f69bfef5d196954835be	1
q_244fbf6493b5d6a3a093	p_532d720d36603b6d4b57	1
q_24700202556a50753382	p_8cedaf6c430ff783e167	1
q_247582bdd93ed31687ae	p_5faf3c4095853bb484bf	1
q_2482ab81674ab9e3e3a3	p_20f8cbee59607c75f839	1
q_248905aedc76cfa5e706	p_9241a6df1ca9441f2663	1
q_248cfb785e73526f88b7	p_2ab273fff6490fe911da	1
q_248cfbb9453db86c34ab	p_c5ad559f1e13017f7a01	1
q_24e2b37f6344fdb8cdb3	p_2041d1b0e1f8ae717048	1
q_24fdfe3f37d759828bc7	p_04842e1dc279c326569a	1
q_250218edd4c0047dce84	p_0c4a724fcf1e03d680db	1
q_252749b15a1fbdce327f	p_73e745f1f1cea847ace6	1
q_2536aa653053fe2c5d92	p_3ebf5bd4cb3c3b7683c3	1
q_253b5ec4b815344b36e3	p_e4ae14c2cfab040d5936	1
q_25584566b05e4609d1d2	p_e607dfbf9fe08d1c49cd	1
q_257a2855f606c6f72d94	p_dcda541d663a73497ff8	1
q_25b4af5454e5b9291c28	p_338fc35de6a9b2c8155a	1
q_25d7acc0c8174c04d1b7	p_1c3f61cc3d887c4cf0a9	1
q_25e39e720ad8ebef4fcd	p_3538c1c6ce33d58ebf94	1
q_261ae312e03fdcb58397	p_3fc0787ae51b341b65f6	1
q_263749945ca1e4030103	p_bf1277126c6774683be8	1
q_2650c316b636b0dd1067	p_f3fd6a9c66905d40d4b2	1
q_26bbfaea7730dfc0bf27	p_e5a1b941f5dfd04209fc	1
q_26d1badded0fc1bce801	p_cbcfc5c6cb29b6f2c2bd	1
q_26ec9b360eb248fb5d67	p_a09ecbf6432c6125f29e	1
q_26fab89d674aa1950a55	p_e8ef9063992ef641079c	1
q_26faded4d5636026aaf9	p_153e04f61f7da581a818	1
q_271de1dacf894a185da3	p_a8ec637cb6274069e61d	1
q_27254e12e74e10adf7a5	p_a1d1907866eba9924b14	1
q_2731ab256e53bd1fc14e	p_b62e4873867f171a1bf3	1
q_275bf2bc8b873c08c105	p_0e6f009be3f1a6aaaa3a	1
q_27cf61921d0fac40caf5	p_a15e1728817e4a9b6156	1
q_27fdad677f989caa07f6	p_eceed18c916ac2f768f8	1
q_288a90d6eeb8001e89e5	p_c0a315f035a8597e1f62	1
q_28c5d3d53e38f5f3355a	p_5b2e7cd6bda81a12a290	1
q_28edc1df228b9168ad5f	p_89922167012b46f524b8	1
q_28eeb871b996ea845894	p_4f33c4d4d00407c4fcf6	1
q_29297fe793b6b62fcb21	p_14ef45830251f883760e	1
q_293d76064a080803ca47	p_eb06ffa268e4f5b06a7e	1
q_295e8ad2039dd6b931a3	p_ba30275064159aefb9ed	1
q_299435700869354c7192	p_92a575ebdf1ac6e35472	1
q_29e60136320b05515e47	p_8cc39b3f9f2f166e77b7	1
q_2a141d9fa186874c4c66	p_ab1b32c356ba9ad89b48	1
q_2a32f8c3b4c8715c8d9e	p_fe41ae5b62d1b5f87f8b	1
q_2a43988b2e6a518d3556	p_2a33251471f2bde28f6c	1
q_2a64e6242a4bfad63ac1	p_93d179b1c3ea061533d2	1
q_2a8b0d3be754e8a31f13	p_c8e26c0b5bcc32ac5559	1
q_2a8b550298d9184fc5a2	p_4847d8811b53dcfc5560	1
q_2aa151612be29ac88f6c	p_70592e948c3f833ba7b7	1
q_2b00c6716f7122476404	p_fc97166a4946c3f71b03	1
q_2b1f9cfca781bef5f3bd	p_11e0790637427b4c4095	1
q_2b690024f66af49e94e2	p_e038b045630bbf2e0b73	1
q_2b98ae5a0847b5dcffaf	p_b0eb1a91d467575ffb87	1
q_2ba278c08a9dabcf8f4f	p_9d027266aeefb2cd915b	1
q_2bc41c98f369f22b09d9	p_b6a273d7d5338acfcffe	1
q_2bd8124a56cc874ce402	p_4cce0bc1cef7b4af07f6	1
q_2c120358ae2681631a1a	p_a08573dc168b18191add	1
q_2c22a45a9c2aea278977	p_9cd97a2bfab1a24b1a4c	1
q_2c49ad0cb695923b99e0	p_2fa5fd1e6ffe5335de01	1
q_2c65e69f0f934c4aacf6	p_f5fb9a1c444332c5c370	1
q_2c69c0b60d1dfbb927d4	p_f5739c07cdb062219fcc	1
q_2c6aed2293b4b2e558d5	p_16d5578ba36a55f370b3	1
q_2c9cf407ebfe207cf0d5	p_996ca8d6032204fae6d3	1
q_2ca979b2477f00b279bd	p_7d01ee4be6aa1e019126	1
q_2cc3bf75781c5cc85096	p_98ac2ca48b0cfd6c57f4	1
q_2cc4cf7ba31862e3c23a	p_de54007cf241c622f635	1
q_2ce54daebed53024af1d	p_ffc41e0a60685761c05f	1
q_2cee9bc0de439ec0a79e	p_b90a06480e4b89bf8203	1
q_2d9f5c03f04dedba2a02	p_9c560b1eb957f289137a	1
q_2db1d7ec70ba111098d5	p_d7c1578fe1c94d498bc7	1
q_2db6e4325bc74a97a1e6	p_e1f8cfd299a4617632f9	1
q_2dceb1b7c0dac4c21792	p_d644f4f1d62eb07acd75	1
q_2dd4aedd129a5c8b00af	p_4469dc095e5ae42faece	1
q_2ddafa4c6f9e965cc4d3	p_ea8db457f1d81a647d2b	1
q_2dee911194a5260a4cb3	p_a694ac73ad52c58e2167	1
q_2defe97900a59cd1e5e6	p_39cbe3b5f7b64b8127a9	1
q_2e04aab00c01ff73259d	p_9f33d7a6102a58819e1b	1
q_2e04c3d9d4d4d6575e7e	p_92db24782d5a7ff85019	1
q_2e291b44ef1d6f700379	p_551bed46d1b0cf01d8b3	1
q_2e6d0020b4d792d5045a	p_b7c44adffa648013cef1	1
q_2ebb85f7508e7b123b23	p_469f558f884aec59a248	1
q_2ecd2a1aa56776b1abe3	p_0402c8a931565c851c1e	1
q_2ed361b0ef5515599c19	p_9fef190f219acf5aefc7	1
q_2ef58216ab7f3581076e	p_821ea65f4a398927a548	1
q_2f0128e12f027a91d276	p_75cfd2a132d7be874bbf	1
q_2f0ba5e346bbdfb98a36	p_6d0fb2f6f212934a29e8	1
q_2f20141ce00d2d9d3dcd	p_1110451d360dbef72ca0	1
q_2f54ed0896e062c85e76	p_1a19a66a2a75af07ebac	1
q_2f71c70e6aac5ac70285	p_dede956b5209d6020438	1
q_2f90a3c20ca14541da69	p_f08f243b4270a3cff9c2	1
q_2fba4757f5c5b254e353	p_47427434ccf840c2dd0a	1
q_2fc1286320e7cb4ecb84	p_db568e95afd9c2c94ec7	1
